ts,latitude,longitude
1728047368000000000,52.3515047,4.8854501
1728047369000000000,52.3515169,4.8853962
1728047370000000000,52.3515297,4.8853415
1728047371000000000,52.3515436,4.8852859
1728047372000000000,52.3515531,4.8852242
1728047373000000000,52.3515632,4.8851626
1728047374000000000,52.351573,4.8851007
1728047375000000000,52.351586,4.8850398
1728047376000000000,52.3515999,4.88498
1728047377000000000,52.3516145,4.8849242
1728047378000000000,52.3516361,4.8848718
1728047379000000000,52.3516476,4.8848141
1728047380000000000,52.3516578,4.8847548
1728047381000000000,52.3516656,4.8846974
1728047382000000000,52.3516719,4.8846405
1728047383000000000,52.3516803,4.8845836
1728047384000000000,52.3516917,4.8845247
1728047385000000000,52.3517022,4.8844636
1728047386000000000,52.3517129,4.8844018
1728047387000000000,52.3517232,4.8843381
1728047388000000000,52.3517358,4.8842746
1728047389000000000,52.3517476,4.8842124
1728047390000000000,52.3517572,4.8841509
1728047391000000000,52.3517735,4.8840937
1728047392000000000,52.3517884,4.884039
1728047393000000000,52.3517976,4.8839781
1728047394000000000,52.3518094,4.8839222
1728047395000000000,52.3518216,4.8838675
1728047396000000000,52.3518351,4.8838098
1728047397000000000,52.3518458,4.8837537
1728047398000000000,52.3518548,4.8836974
1728047399000000000,52.3518652,4.8836412
1728047400000000000,52.3518773,4.8835834
1728047401000000000,52.3518865,4.8835222
1728047402000000000,52.3518977,4.883464
1728047403000000000,52.3519078,4.8834049
1728047404000000000,52.3519184,4.8833449
1728047405000000000,52.3519278,4.8832849
1728047406000000000,52.351938,4.8832275
1728047407000000000,52.3519498,4.8831777
1728047408000000000,52.3519595,4.8831237
1728047409000000000,52.3519704,4.8830687
1728047410000000000,52.3519822,4.8830124
1728047411000000000,52.3519941,4.8829568
1728047412000000000,52.352006,4.8829018
1728047413000000000,52.3520164,4.8828461
1728047414000000000,52.3520299,4.8827908
1728047415000000000,52.3520451,4.8827359
1728047416000000000,52.3520522,4.8826777
1728047417000000000,52.3520605,4.8826207
1728047418000000000,52.3520685,4.8825638
1728047419000000000,52.3520785,4.8825092
1728047420000000000,52.3520881,4.8824541
1728047421000000000,52.3520992,4.8823999
1728047422000000000,52.3521048,4.8823471
1728047423000000000,52.3521035,4.8822971
1728047424000000000,52.3520923,4.8822515
1728047425000000000,52.3520708,4.8822157
1728047426000000000,52.3520438,4.8821931
1728047427000000000,52.352018,4.8821792
1728047428000000000,52.3519904,4.882168
1728047429000000000,52.3519592,4.8821554
1728047430000000000,52.3519279,4.8821381
1728047431000000000,52.3518946,4.8821195
1728047432000000000,52.3518604,4.8821006
1728047433000000000,52.3518259,4.8820846
1728047434000000000,52.3517916,4.8820663
1728047435000000000,52.3517578,4.8820494
1728047436000000000,52.3517214,4.8820306
1728047437000000000,52.351685,4.8820128
1728047438000000000,52.3516495,4.8819925
1728047439000000000,52.351615,4.8819737
1728047440000000000,52.3515799,4.8819537
1728047441000000000,52.3515458,4.8819274
1728047442000000000,52.3515131,4.8819073
1728047443000000000,52.3514816,4.8818913
1728047444000000000,52.3514495,4.8818897
1728047445000000000,52.3514231,4.8819087
1728047446000000000,52.3514077,4.8819399
1728047447000000000,52.3514,4.8819819
1728047448000000000,52.3513954,4.882031
1728047449000000000,52.3513867,4.8820817
1728047450000000000,52.3513749,4.8821307
1728047451000000000,52.3513646,4.8821793
1728047452000000000,52.3513547,4.882228
1728047453000000000,52.3513456,4.8822774
1728047454000000000,52.3513373,4.8823286
1728047455000000000,52.3513274,4.8823795
1728047456000000000,52.3513175,4.8824318
1728047457000000000,52.3513075,4.8824856
1728047458000000000,52.3512997,4.8825424
1728047459000000000,52.3512915,4.8825991
1728047460000000000,52.3512839,4.8826558
1728047461000000000,52.3512739,4.8827099
1728047462000000000,52.3512632,4.8827655
1728047463000000000,52.3512498,4.8828222
1728047464000000000,52.3512368,4.8828815
1728047465000000000,52.3512233,4.8829417
1728047466000000000,52.3512109,4.8830015
1728047467000000000,52.3511999,4.8830614
1728047468000000000,52.3511875,4.8831214
1728047469000000000,52.3511752,4.8831814
1728047470000000000,52.3511644,4.8832423
1728047471000000000,52.3511529,4.8833023
1728047472000000000,52.3511429,4.8833618
1728047473000000000,52.3511316,4.8834211
1728047474000000000,52.3511186,4.883479
1728047475000000000,52.3511069,4.8835387
1728047476000000000,52.3510955,4.8835962
1728047477000000000,52.3510841,4.8836529
1728047478000000000,52.3510725,4.8837099
1728047479000000000,52.3510589,4.8837697
1728047480000000000,52.3510446,4.8838308
1728047481000000000,52.3510314,4.8838912
1728047482000000000,52.3510191,4.8839508
1728047483000000000,52.3510058,4.884008
1728047484000000000,52.3509943,4.8840668
1728047485000000000,52.3509796,4.8841255
1728047486000000000,52.3509664,4.8841843
1728047487000000000,52.350954,4.8842417
1728047488000000000,52.3509425,4.8842982
1728047489000000000,52.3509304,4.8843492
1728047490000000000,52.3509139,4.8843878
1728047491000000000,52.3508946,4.8844152
1728047492000000000,52.350871,4.8844295
1728047493000000000,52.3508416,4.8844309
1728047494000000000,52.3508155,4.8844246
1728047495000000000,52.3507868,4.8844126
1728047496000000000,52.3507551,4.8843974
1728047497000000000,52.3507224,4.8843839
1728047498000000000,52.3506912,4.8843699
1728047499000000000,52.3506594,4.8843496
1728047500000000000,52.3506272,4.8843278
1728047501000000000,52.3505954,4.8843073
1728047502000000000,52.3505637,4.8842901
1728047503000000000,52.3505317,4.8842729
1728047504000000000,52.3505011,4.8842476
1728047505000000000,52.350473,4.8842194
1728047506000000000,52.3504463,4.8841897
1728047507000000000,52.3504208,4.8841576
1728047508000000000,52.3504089,4.8841231
1728047509000000000,52.3504232,4.8840929
1728047510000000000,52.3504304,4.8840488
1728047511000000000,52.3504458,4.8840123
1728047512000000000,52.3504634,4.8839758
1728047513000000000,52.350485,4.8839395
1728047514000000000,52.3505102,4.8838971
1728047515000000000,52.3505331,4.8838542
1728047516000000000,52.3505512,4.8838085
1728047517000000000,52.350565,4.88376
1728047518000000000,52.3505741,4.8837095
1728047519000000000,52.3505804,4.8836583
1728047520000000000,52.3505887,4.8836077
1728047521000000000,52.3505969,4.8835556
1728047522000000000,52.3506057,4.8835039
1728047523000000000,52.350614,4.883453
1728047524000000000,52.3506249,4.8834021
1728047525000000000,52.3506367,4.8833523
1728047526000000000,52.3506456,4.8832959
1728047527000000000,52.350654,4.8832392
1728047528000000000,52.3506634,4.8831823
1728047529000000000,52.350673,4.8831253
1728047530000000000,52.3506834,4.8830681
1728047531000000000,52.350696,4.8830121
1728047532000000000,52.3507071,4.8829536
1728047533000000000,52.3507168,4.8828934
1728047534000000000,52.3507263,4.8828317
1728047535000000000,52.3507375,4.8827692
1728047536000000000,52.3507488,4.8827067
1728047537000000000,52.3507582,4.8826446
1728047538000000000,52.3507681,4.8825836
1728047539000000000,52.3507769,4.8825237
1728047540000000000,52.3507874,4.8824635
1728047541000000000,52.3507987,4.8824032
1728047542000000000,52.3508097,4.8823429
1728047543000000000,52.3508198,4.8822818
1728047544000000000,52.3508284,4.8822197
1728047545000000000,52.3508406,4.8821599
1728047546000000000,52.3508525,4.8820999
1728047547000000000,52.3508638,4.8820395
1728047548000000000,52.3508732,4.8819778
1728047549000000000,52.3508825,4.8819167
1728047550000000000,52.3508925,4.8818567
1728047551000000000,52.3509053,4.8817987
1728047552000000000,52.3509175,4.8817393
1728047553000000000,52.3509306,4.8816832
1728047554000000000,52.3509439,4.881628
1728047555000000000,52.3509565,4.8815739
1728047556000000000,52.3509649,4.8815402
1728047557000000000,52.3509668,4.8815315
1728047558000000000,52.3509677,4.8815313
1728047559000000000,52.3509679,4.8815321
1728047560000000000,52.3509704,4.8815348
1728047561000000000,52.3509754,4.8815389
1728047562000000000,52.3509791,4.8815478
1728047563000000000,52.3509833,4.8815603
1728047564000000000,52.3509867,4.881571
